subject,field,annotation,nan_score,good
PJ01_4_Ruhe,diameter,13812.819758,1.2641242937853108,1
PJ01_4_Ruhe,diameter,13872.803855,1.6807909604519775,0
PJ01_4_Ruhe,diameter,13872.803855,1.6807909604519775,1
PJ01_4_Ruhe,diameter,13932.819754,4.3438208616780045,0
PJ01_4_Ruhe,diameter,13932.819754,4.3438208616780045,1
PJ01_4_Ruhe,diameter,13992.803925,13.831749184281458,0
PJ01_4_Ruhe,diameter,13992.803925,13.831749184281458,1
PJ01_4_Ruhe,diameter,14052.819915,22.45871298405467,0
PJ01_4_Ruhe,diameter,14052.819915,22.45871298405467,1
PJ01_4_Ruhe,diameter,14112.803872,2.8319209039548023,0
PJ01_4_Ruhe,diameter,14112.803872,2.8319209039548023,1
PJ01_4_Ruhe,diameter,14172.819864000001,3.1850282485875705,0
PJ01_4_Ruhe,diameter,14172.819864000001,3.1850282485875705,1
PJ01_4_Ruhe,diameter,14232.803954,3.0517095224639728,0
PJ01_4_Ruhe,diameter,14232.803954,3.0517095224639728,1
PJ02_1_Ruhe,diameter,76199.730086,0.1882648258550361,0
PJ02_1_Ruhe,diameter,76199.730086,0.1882648258550361,1
PJ02_1_Ruhe,diameter,76229.12609699999,0.44197086266164676,0
PJ02_1_Ruhe,diameter,76229.12609699999,0.44197086266164676,1
PJ02_1_Ruhe,diameter,76258.55406099999,0.45762979327757614,0
PJ02_1_Ruhe,diameter,76258.55406099999,0.45762979327757614,1
PJ02_1_Ruhe,diameter,76287.946401,0.45015005001667224,0
PJ02_1_Ruhe,diameter,76287.946401,0.45015005001667224,1
PJ02_1_Ruhe,diameter,76317.34207999999,0.3526771401090093,0
PJ02_1_Ruhe,diameter,76317.34207999999,0.3526771401090093,1
PJ02_1_Ruhe,diameter,76346.73434299999,0.6819473385110817,0
PJ02_1_Ruhe,diameter,76346.73434299999,0.6819473385110817,1
PJ02_1_Ruhe,diameter,76376.130215,1.0334645669291338,0
PJ02_1_Ruhe,diameter,76376.130215,1.0334645669291338,1
PJ02_1_Ruhe,diameter,76405.526306,0.9342156481121059,0
PJ02_1_Ruhe,diameter,76405.526306,0.9342156481121059,1
PJ02_1_Ruhe,diameter,76434.95446499999,2.066027689030884,0
PJ02_1_Ruhe,diameter,76434.95446499999,2.066027689030884,1
PJ02_1_Ruhe,diameter,76464.346549,1.5594541910331383,0
PJ02_1_Ruhe,diameter,76464.346549,1.5594541910331383,1
PJ02_1_Ruhe,diameter,76493.743873,3.461005999077065,0
PJ02_1_Ruhe,diameter,76493.743873,3.461005999077065,1
PJ02_1_Ruhe,diameter,76523.13463799999,1.5457165313073093,0
PJ02_1_Ruhe,diameter,76523.13463799999,1.5457165313073093,1
PJ02_1_Ruhe,diameter,76552.532492,4.890738813735692,0
PJ02_1_Ruhe,diameter,76552.532492,4.890738813735692,1
PJ02_1_Ruhe,diameter,76581.92641399999,4.959016393442623,0
PJ02_1_Ruhe,diameter,76581.92641399999,4.959016393442623,1
PJ02_1_Ruhe,diameter,76611.354266,3.0715005035246725,0
PJ02_1_Ruhe,diameter,76611.354266,3.0715005035246725,1
PJ02_1_Ruhe,diameter,76640.746867,1.2872467222884387,0
PJ02_1_Ruhe,diameter,76640.746867,1.2872467222884387,1
PJ02_1_Ruhe,diameter,76670.142618,6.881188118811881,0
PJ02_1_Ruhe,diameter,76670.142618,6.881188118811881,1
PJ02_1_Ruhe,diameter,76699.53442499999,4.66724286949006,0
PJ02_1_Ruhe,diameter,76699.53442499999,4.66724286949006,1
PJ02_1_Ruhe,diameter,76728.930644,2.7788964961739833,0
PJ02_1_Ruhe,diameter,76728.930644,2.7788964961739833,1
PJ02_1_Ruhe,diameter,76758.326343,5.879422022919781,0
PJ02_1_Ruhe,diameter,76758.326343,5.879422022919781,1
PJ02_1_Ruhe,diameter,76787.754387,9.365079365079366,0
PJ02_1_Ruhe,diameter,76787.754387,9.365079365079366,1
PJ02_1_Ruhe,diameter,76817.14663599999,1.9922254616132167,0
PJ02_1_Ruhe,diameter,76817.14663599999,1.9922254616132167,1
PJ02_1_Ruhe,diameter,76846.542739,13.375295043273013,0
PJ02_1_Ruhe,diameter,76846.542739,13.375295043273013,1
PJ02_1_Ruhe,diameter,76875.934428,6.0908084163898115,0
PJ02_1_Ruhe,diameter,76875.934428,6.0908084163898115,1
PJ02_1_Ruhe,diameter,76905.33073199999,8.07622504537205,0
PJ02_1_Ruhe,diameter,76905.33073199999,8.07622504537205,1
PJ02_1_Ruhe,diameter,76934.72651699999,36.96369636963696,0
PJ02_1_Ruhe,diameter,76934.72651699999,36.96369636963696,1
PJ02_1_Ruhe,diameter,76964.15600799999,4.586636466591166,0
PJ02_1_Ruhe,diameter,76964.15600799999,4.586636466591166,1
PJ02_1_Ruhe,diameter,76993.546607,6.467661691542289,0
PJ02_1_Ruhe,diameter,76993.546607,6.467661691542289,1
PJ02_1_Ruhe,diameter,77022.942501,5.988700564971752,0
PJ02_1_Ruhe,diameter,77022.942501,5.988700564971752,1
PJ02_1_Ruhe,diameter,77052.334829,11.040339702760084,0
PJ02_1_Ruhe,diameter,77052.334829,11.040339702760084,1
PJ02_1_Ruhe,diameter,77081.730619,14.782608695652174,0
PJ02_1_Ruhe,diameter,77081.730619,14.782608695652174,1
PJ02_1_Ruhe,diameter,77111.12649099999,14.039408866995075,0
PJ02_1_Ruhe,diameter,77111.12649099999,14.039408866995075,1
PJ02_1_Ruhe,diameter,77140.518902,0.0,0
